,,ARC(%),ASD(%),MD(%),MLD,IR*(%),IR**(%)
**Long Short**,,,,,,,
,**CAC 40**,3.52,21.44,59.16,14.04,16.43,0.98
,ARIMA,-1.81,**21.43**,72.02,14.95,0,0
,LSTM,3.56,21.44,60.73,9.01,16.59,0.97
,LSTM-ARIMA,**11.06**,**21.43**,**39.91**,**2.91**,**51.6**,**14.29**
