,,ARC(%),ASD(%),MD(%),MLD,IR*(%),IR**(%)
**Long Only**,,,,,,,
,**CAC 40**,3.52,21.44,59.16,14.04,16.43,0.98
,ARIMA,-4.38,**15.14**,65.53,16.5,0,0
,LSTM,3.12,16.1,**42.35**,**5.38**,19.4,1.43
,LSTM-ARIMA,**5.02**,15.43,53.65,8.33,**32.52**,**3.04**
