,,ARC(%),ASD(%),MD(%),MLD,IR*(%),IR**(%)
&nbsp;,**S&P 500**,7.52,19.58,56.78,1.65,38.43,5.09
&nbsp;,&nbsp;,,,,,,
**Long Only**,Base Case (Dropout = 0.075),4.32,**11.14**,28.95,**1.67**,38.79,5.79
**Panel A: Dropout Rate**,Dropout = 0.05,**6.88**,13.7,**26.63**,3.92,**50.25**,**12.99**
,Dropout = 0.1,4.72,13.5,37.99,3.66,34.99,4.35
,&nbsp;,,,,,,
**Panel B: Batch Size**,Base Case (Batch Size = 32),4.32,**11.14**,28.95,1.67,38.79,5.79
,Batch Size = 16,**5.53**,12.03,**27.83**,**1.54**,**45.92**,**9.11**
,Batch Size = 64,1.19,14.44,52.99,7.54,8.23,0.18
,&nbsp;,,,,,,
