,,ARC(%),ASD(%),MD(%),MLD,IR*(%),IR**(%)
**Long Short**,,,,,,,
,**S&P 500**,7.52,19.58,56.78,**1.65**,38.43,5.09
,ARIMA,8.66,**19.19**,**54.81**,8.44,45.11,7.13
,LSTM,6.71,19.59,59.44,13.16,34.27,3.87
,LSTM-ARIMA,**8.92**,19.58,56.62,3.44,**45.56**,**7.18**
