,,ARC(%),ASD(%),MD(%),MLD,IR*(%),IR**(%)
**Long Only**,,,,,,,
,**S&P 500**,**7.52**,19.58,56.78,**1.65**,38.43,5.09
,ARIMA,1.89,14.45,46.73,8.45,13.07,0.53
,LSTM,3.26,13.14,41.83,9.8,24.83,1.94
,LSTM-ARIMA,4.32,**11.14**,**28.95**,1.67,**38.79**,**5.79**
