Date,buynhold,long_only,long-short
2005-01-25,1.0,1.0,1.0
2005-01-26,1.0016924968026133,1.00135916346928,1.0017404012859583
2005-01-27,1.0032595643130575,1.0027892170489343,1.0010412374521116
2005-01-28,0.9991228678687071,0.9995623143574418,1.0023361959015227
2005-01-31,1.0070136477999245,1.0046377056838132,0.9971162744046526
2005-02-01,1.0152416705789273,1.0105386956883435,0.9963532417169242
2005-02-02,1.0180842183353267,1.0122975891099988,0.9949174486912008
2005-02-03,1.0146440331763398,1.0098101723194006,0.9972134556423637
2005-02-04,1.0231691069331763,1.0145775038166427,0.9933316637547699
2005-02-07,1.0274996742494371,1.0192399872162008,0.9942600232483538
2005-02-08,1.028647640818695,1.0202147277639089,0.9952389797978133
2005-02-09,1.0243968714803307,1.0189150151887585,0.9986743065339708
2005-02-10,1.026556337373534,1.0196325514632387,0.9978498399733683
2005-02-11,1.0359483568455192,1.0266073615751055,0.9946011455084981
2005-02-14,1.035625792268034,1.0260492268351966,0.9945953009229056
2005-02-15,1.0395137226100442,1.0287726306792515,0.9931102962246029
2005-02-16,1.0373439454163027,1.0265629379971148,0.9944372776396064
2005-02-17,1.0345879674159282,1.0265468803468836,0.9976302462955587
2005-02-18,1.0368406024214296,1.0285426390327281,0.9954318172827973
2005-02-22,1.0281786105038988,1.0249232217693967,1.0004211757005657
2005-02-23,1.0249241013542512,1.0216790169504497,1.0014438747205887
2005-02-24,1.0265390100458551,1.0229482528935572,1.0026074007538595
2005-02-25,1.0370064902984795,1.0302056538659454,0.9970486680268911
2005-02-28,1.0315101952153602,1.0269480668429427,0.9972485261584749
2005-03-01,1.038045417974695,1.031517536208685,0.9952122742241238
2005-03-02,1.0380786967199245,1.031644370423915,0.9941586936509086
2005-03-03,1.0395982601592573,1.0330436804845147,0.9956238256518675
2005-03-04,1.0469984753333088,1.0370831025356155,0.9913823339859206
2005-03-07,1.0486794544788112,1.0378458066050633,0.9885964917110835
2005-03-08,1.0439437695219684,1.0348191793117656,0.9909238875231586
2005-03-09,1.0377798104945788,1.0322223495848577,0.9951539550960744
2005-03-10,1.0336450451524866,1.027765652392378,0.9955035006815394
2005-03-11,1.0333569494493653,1.030077129694447,0.9987877522280386
2005-03-14,1.0347498959045363,1.03112229596875,0.9999047504764345
2005-03-15,1.0363887785862693,1.0353414215891328,1.002030947607235
2005-03-16,1.0243292380867086,1.0232940682575398,0.9999285473758229
2005-03-17,1.0249487282923362,1.0239129324168275,0.9984319286740077
2005-03-18,1.0264557756912551,1.025418456819096,0.9968129655924512
2005-03-21,1.0239754396219771,1.0229406273355617,0.997319488064494
2005-03-22,1.0219581984353339,1.0209254247387947,0.9930170583573252
2005-03-23,1.0190974404811812,1.018067557818318,0.9926532988014286
2005-03-24,1.0234796705423852,1.022445359271829,0.9893890284478579
2005-03-28,1.0234796705423852,1.022445359271829,0.9893890284478579
2005-03-29,1.0209249719020925,1.0224821357905665,0.9917194459438378
2005-03-30,1.0229251849358187,1.0241445722668543,0.9960919745598384
2005-03-31,1.0225160657661343,1.0239719332449722,0.9956366509484323
2005-04-01,1.0226972847147282,1.026370884798771,0.9981182779561003
2005-04-04,1.0201077769679618,1.0228386963870055,0.9983029579751185
2005-04-05,1.0278285348496108,1.029052393848671,0.9970264674039848
2005-04-06,1.0305142417747755,1.0309631785724649,0.9950263724464141
2005-04-07,1.0360741168893102,1.0344735192876744,0.9936267652728796
2005-04-08,1.0336503305704825,1.0349310379203025,0.99684301839988
2005-04-11,1.032376998730042,1.0336532049875637,0.9966841460754865
2005-04-12,1.0306709195310197,1.030034411201424,0.994710605734031
2005-04-13,1.029324757331848,1.0327273682254294,0.9982987497659518
2005-04-14,1.0243495416243429,1.0277357060824883,0.9944014672902651
2005-04-15,1.0083785378142978,1.011711907358925,0.9916090476530643
2005-04-18,0.9980418962125737,1.001341096201804,0.9950670269635303
2005-04-19,1.0030583168618148,1.0060403191311373,0.999736806129758
2005-04-20,0.9952690254891677,1.002672872010961,1.0011408541337783
2005-04-21,1.0017355157825532,1.0088532424964247,1.0072450386980203
2005-04-22,1.0040035696175003,1.0134074167466274,1.0091024587118982
2005-04-25,1.0090630233968507,1.0155881211521967,1.0061814847686898
2005-04-26,1.0047466837376247,1.0142356118963383,1.0078105790593452
2005-04-27,0.9967100491419363,1.0047875742256844,1.0080929195234891
2005-04-28,0.9916117176461587,1.0034595435574927,1.0136978065375408
2005-04-29,0.9963680420658042,1.0079382102623387,1.0181772458845342
2005-05-02,0.9963680420658042,1.0079382102623387,1.0181772458845342
2005-05-03,1.001654439728442,1.0135722006634809,1.0212003413056956
2005-05-04,1.0099496248038502,1.0177529454139675,1.0157122663181435
2005-05-05,1.013127971606248,1.021827320274467,1.0152617688509196
2005-05-06,1.0150884016242627,1.0241763887131883,1.015589119821996
2005-05-09,1.0155472082724273,1.022456331424128,1.013946330896445
2005-05-10,1.0090102107164693,1.0195234737919772,1.0180088781553776
2005-05-11,1.007509678115842,1.0165823367668845,1.0171645568963417
2005-05-12,1.0084213648738083,1.020902096844957,1.0190728502965616
2005-05-13,1.0066022202161562,1.019060437534522,1.0168555213642039
2005-05-16,1.009251494483603,1.0214028137454296,1.0203586789158583
2005-05-17,1.012175256235135,1.02199302670466,1.0193943223663802
2005-05-18,1.0247005174225188,1.0312267478163863,1.0138413553699204
2005-05-19,1.0282846158353602,1.0332332294800937,1.0121115383416854
2005-05-20,1.0292507980095673,1.0347245257982862,1.0123977579414187
2005-05-23,1.0336726926263602,1.0378416841943527,1.0104918040620186
