,,ARC(%),ASD(%),MD(%),MLD,IR*(%),IR**(%)
**Long Short**,Base Case (Dropout = 0.075),2.28,**18.03**,**42.92**,11.3,12.67,0.67
**Panel G: Dropout Rate**,Dropout = 0.05,4.96,**18.03**,63.39,13.7,27.49,2.15
,Dropout = 0.1,**5.96**,18.05,44.81,**6.09**,**33.0**,**4.39**
,&nbsp;,,,,,,
**Panel H: Batch Size**,Base Case (Batch Size = 32),2.28,**18.03**,**42.92**,11.3,12.67,0.67
,Batch Size = 16,**6.53**,**18.03**,43.77,**10.2**,**36.23**,**5.4**
,Batch Size = 64,2.28,18.04,63.08,14.69,12.63,0.46
,&nbsp;,,,,,,
