,,ARC(%),ASD(%),MD(%),MLD,IR*(%),IR**(%)
,**FTSE 100**,2.39,18.03,47.83,5.94,13.27,0.66
,&nbsp;,,,,,,
**Long Only**,Base Case,-3.78,**12.88**,58.12,**12.55**,**0.0**,**0.0**
,"Order Range = {0-3,1,0-3}",-3.06,12.9,**57.55**,**12.55**,**0.0**,**0.0**
,Information Criterion = BIC,**-3.02**,12.9,**57.55**,**12.55**,**0.0**,**0.0**
,&nbsp;,,,,,,
