,,ARC(%),ASD(%),MD(%),MLD,IR*(%),IR**(%)
,**CAC 40**,3.52,21.44,59.16,14.04,16.43,0.98
,&nbsp;,,,,,,
**Long Only**,Base Case,**-4.38**,15.14,**65.53**,**16.5**,**0.0**,**0.0**
,"Order Range = {0-3,1,0-3}",-5.62,15.1,73.12,**16.5**,**0.0**,**0.0**
,Information Criterion = BIC,-4.95,**15.07**,69.27,**16.5**,**0.0**,**0.0**
,&nbsp;,,,,,,
