,,ARC(%),ASD(%),MD(%),MLD,IR*(%),IR**(%)
**Long Short**,Base Case,**-1.81**,**21.43**,**72.02**,**14.95**,**0.0**,**0.0**
,"Order Range = {0-3,1,0-3}",-4.35,**21.43**,82.97,**14.95**,**0.0**,**0.0**
,Information Criterion = BIC,-2.97,**21.43**,77.67,**14.95**,**0.0**,**0.0**
,&nbsp;,,,,,,
