,,ARC(%),ASD(%),MD(%),MLD,IR*(%),IR**(%)
**Long Short**,Base Case (Dropout = 0.075),**11.06**,**21.43**,39.91,**2.91**,**51.6**,**14.29**
**Panel K: Dropout Rate**,Dropout = 0.05,8.64,21.44,**32.86**,3.09,40.31,10.6
,Dropout = 0.1,5.7,21.44,39.43,7.27,26.57,3.84
,&nbsp;,,,,,,
**Panel L: Batch Size**,Base Case (Batch Size = 32),**11.06**,**21.43**,**39.91**,**2.91**,**51.6**,**14.29**
,Batch Size = 16,2.4,21.46,48.23,9.01,11.19,0.56
,Batch Size = 64,-0.89,21.44,65.76,12.72,0.0,0.0
,&nbsp;,,,,,,
